OP;                                                              CPU; GPU; HPU; COMPOUND; DI_DE; MISSING; TERT; IN_TOPOS; COUNT; TOPOS_LIST
aten::cudnn_affine_grid_generator;                               NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::cudnn_affine_grid_generator_backward;                      NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::cudnn_batch_norm;                                          NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::cudnn_batch_norm_backward;                                 NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::cudnn_convolution;                                         NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::cudnn_convolution_add_relu;                                NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::cudnn_convolution_relu;                                    NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::cudnn_convolution_transpose;                               NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::cudnn_grid_sampler;                                        NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::cudnn_grid_sampler_backward;                               NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::cumprod;                                                   YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::cumsum;                                                    YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::dequantize;                                                YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::diag;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::digamma;                                                   YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::div;                                                       YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
