OP;                                                                  CPU; GPU; HPU; COMPOUND; DI_DE; MISSING; TERT; IN_TOPOS; COUNT; TOPOS_LIST
aten::nanmedian.out;                                                 NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::nanquantile;                                                   NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::nanquantile.out;                                               NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::nanquantile.scalar;                                            NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::nanquantile.scalar_out;                                        NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::nansum;                                                        YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::nansum.out;                                                    YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::narrow;                                                        NO;  NO;  NO;  NO;       DT_DT; NO;      YES;  NO;           0;
aten::narrow.Tensor;                                                 NO;  NO;  NO;  YES;      DF_DT; NO;      YES;  NO;           0;
aten::narrow_copy;                                                   YES; NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::narrow_copy.out;                                               YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::native_batch_norm;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::native_batch_norm.out;                                         YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::native_batch_norm_backward;                                    YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::native_batch_norm_backward.out;                                NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::native_channel_shuffle;                                        YES; NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::native_dropout;                                                YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::native_dropout.out;                                            NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::native_dropout_backward;                                       YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::native_dropout_backward.out;                                   NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::native_group_norm;                                             YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::native_group_norm.out;                                         NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::native_group_norm_backward;                                    YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::native_group_norm_backward.out;                                NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::native_layer_norm;                                             YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::native_layer_norm.out;                                         NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::native_layer_norm_backward;                                    YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::native_layer_norm_backward.out;                                NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::native_norm;                                                   NO;  NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::native_norm.ScalarOpt_dim_dtype;                               NO;  NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::native_norm.ScalarOpt_dim_dtype_out;                           NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::native_norm.out;                                               NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::ne.Scalar;                                                     YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::ne.Scalar_out;                                                 YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::ne.Tensor;                                                     YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::ne.Tensor_out;                                                 YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::ne_.Scalar;                                                    YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::ne_.Tensor;                                                    YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
